epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,4923.38,0.95958,0.46892,1.08112,0.9733,0.97965,0.98485,0.72367,1.04893,0.43885,1.139,0.002179,0.002179,0.002179
81,4986.44,0.95717,0.47143,1.08149,0.97354,0.97917,0.98459,0.72358,1.04816,0.43888,1.13735,0.00208,0.00208,0.00208
82,5049.39,0.95333,0.47051,1.08142,0.97481,0.98014,0.98479,0.72529,1.04787,0.43897,1.13686,0.001981,0.001981,0.001981
83,5112.36,0.95896,0.46845,1.07955,0.97519,0.98062,0.985,0.72499,1.04763,0.43851,1.13582,0.001882,0.001882,0.001882
84,5175.39,0.94883,0.4631,1.0724,0.97356,0.98116,0.98494,0.72315,1.04834,0.43873,1.13553,0.001783,0.001783,0.001783
85,5238.27,0.94449,0.46607,1.07335,0.97311,0.98191,0.98499,0.72447,1.0462,0.43871,1.1354,0.001684,0.001684,0.001684
86,5301.32,0.93742,0.46324,1.0695,0.97263,0.9815,0.98526,0.72413,1.04551,0.43882,1.13506,0.001585,0.001585,0.001585
87,5365.78,0.93634,0.45528,1.06895,0.97263,0.98144,0.98525,0.72432,1.04333,0.43846,1.13443,0.001486,0.001486,0.001486
88,5429.87,0.92929,0.45549,1.06927,0.97309,0.98094,0.98519,0.72447,1.04211,0.43824,1.13387,0.001387,0.001387,0.001387
89,5491.76,0.9289,0.45036,1.06355,0.9735,0.9811,0.98522,0.72417,1.0423,0.43767,1.13297,0.001288,0.001288,0.001288
90,5553.46,0.9285,0.45258,1.06426,0.97382,0.98062,0.98515,0.72486,1.04154,0.43733,1.13232,0.001189,0.001189,0.001189
91,5616.85,0.88734,0.40713,1.07818,0.97399,0.97981,0.98511,0.72481,1.04166,0.43715,1.13371,0.00109,0.00109,0.00109
92,5677.2,0.87344,0.40257,1.06995,0.974,0.98011,0.98485,0.72506,1.04055,0.4365,1.13339,0.000991,0.000991,0.000991
