epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,9282.14,0.85964,0.4219,1.0414,0.97315,0.98336,0.98633,0.73471,1.0751,0.45338,1.15298,0.001684,0.001684,0.001684
86,9392.47,0.85271,0.41798,1.04023,0.9736,0.98263,0.98632,0.73461,1.07442,0.45302,1.15318,0.001585,0.001585,0.001585
87,9503.7,0.84654,0.41339,1.02945,0.97385,0.98256,0.98632,0.73522,1.07437,0.45264,1.15318,0.001486,0.001486,0.001486
88,9614.82,0.84493,0.40825,1.02583,0.97319,0.98207,0.98607,0.73628,1.07436,0.45176,1.153,0.001387,0.001387,0.001387
89,9726.28,0.84456,0.41045,1.03148,0.97303,0.98256,0.98603,0.73619,1.07461,0.45105,1.15321,0.001288,0.001288,0.001288
90,9835.66,0.83495,0.40562,1.02372,0.97366,0.98256,0.98601,0.73641,1.07493,0.45023,1.15375,0.001189,0.001189,0.001189
91,9945.44,0.79911,0.36068,1.03648,0.97334,0.98256,0.98594,0.73662,1.07367,0.44958,1.15334,0.00109,0.00109,0.00109
92,10053.6,0.78627,0.35592,1.02914,0.97359,0.98249,0.98592,0.73714,1.07331,0.44912,1.1532,0.000991,0.000991,0.000991
93,10161.9,0.77278,0.34877,1.02254,0.97325,0.98304,0.98593,0.7376,1.07308,0.44822,1.15339,0.000892,0.000892,0.000892
94,10270.6,0.78039,0.35037,1.02241,0.97414,0.98304,0.98589,0.73759,1.07283,0.44734,1.15357,0.000793,0.000793,0.000793
95,10379.1,0.76338,0.34263,1.01368,0.97411,0.98304,0.98586,0.73738,1.0726,0.44669,1.15302,0.000694,0.000694,0.000694
96,10487.3,0.75657,0.34283,1.01134,0.97509,0.98401,0.98624,0.73773,1.07199,0.44591,1.15308,0.000595,0.000595,0.000595
97,10595.3,0.75705,0.33768,1.01315,0.9746,0.98401,0.98624,0.73823,1.07145,0.44532,1.1525,0.000496,0.000496,0.000496
98,10704.7,0.75096,0.3355,1.00776,0.97401,0.98401,0.98627,0.73853,1.07068,0.44469,1.15218,0.000397,0.000397,0.000397
99,10813.8,0.73867,0.3313,1.00111,0.97448,0.98401,0.98639,0.73939,1.06932,0.44425,1.15091,0.000298,0.000298,0.000298
100,10922.6,0.7344,0.32874,0.99676,0.97503,0.98382,0.98637,0.73989,1.06919,0.44378,1.15051,0.000199,0.000199,0.000199
